Date,Open,High,Low,Close
07/14/2025,"1.1696","1.1700","1.1656","1.1667"
07/11/2025,"1.1702","1.1716","1.1667","1.1690"
07/10/2025,"1.1718","1.1752","1.1665","1.1703"
07/09/2025,"1.1725","1.1732","1.1690","1.1723"
07/08/2025,"1.1713","1.1768","1.1684","1.1726"
07/07/2025,"1.1780","1.1792","1.1688","1.1709"
07/04/2025,"1.1762","1.1789","1.1753","1.1781"
07/03/2025,"1.1799","1.1812","1.1720","1.1760"
07/02/2025,"1.1805","1.1812","1.1748","1.1802"
07/01/2025,"1.1789","1.1830","1.1762","1.1808"
06/30/2025,"1.1737","1.1791","1.1709","1.1790"
06/27/2025,"1.1697","1.1754","1.1681","1.1722"
06/26/2025,"1.1662","1.1746","1.1655","1.1704"
06/25/2025,"1.1612","1.1667","1.1591","1.1661"
06/24/2025,"1.1577","1.1643","1.1575","1.1611"
06/23/2025,"1.1526","1.1585","1.1455","1.1578"
06/20/2025,"1.1497","1.1546","1.1490","1.1525"
06/19/2025,"1.1482","1.1502","1.1448","1.1498"
06/18/2025,"1.1480","1.1531","1.1462","1.1484"
06/17/2025,"1.1563","1.1583","1.1475","1.1482"
06/16/2025,"1.1531","1.1617","1.1525","1.1562"
06/13/2025,"1.1585","1.1615","1.1491","1.1552"
06/12/2025,"1.1494","1.1631","1.1485","1.1586"
06/11/2025,"1.1425","1.1501","1.1406","1.1488"
06/10/2025,"1.1423","1.1451","1.1374","1.1426"
06/09/2025,"1.1407","1.1441","1.1389","1.1422"
06/06/2025,"1.1446","1.1459","1.1372","1.1396"
06/05/2025,"1.1421","1.1497","1.1406","1.1445"
06/04/2025,"1.1371","1.1437","1.1359","1.1420"
06/03/2025,"1.1444","1.1457","1.1365","1.1372"
06/02/2025,"1.1350","1.1451","1.1347","1.1443"
05/30/2025,"1.1370","1.1391","1.1315","1.1349"
05/29/2025,"1.1293","1.1386","1.1212","1.1369"
05/28/2025,"1.1333","1.1348","1.1285","1.1294"
05/27/2025,"1.1387","1.1409","1.1324","1.1329"
05/26/2025,"1.1372","1.1421","1.1361","1.1389"
05/23/2025,"1.1281","1.1376","1.1279","1.1365"
05/22/2025,"1.1332","1.1346","1.1257","1.1280"
05/21/2025,"1.1285","1.1364","1.1281","1.1331"
05/20/2025,"1.1242","1.1288","1.1219","1.1284"
05/19/2025,"1.1164","1.1289","1.1164","1.1244"
05/16/2025,"1.1191","1.1222","1.1133","1.1165"
05/15/2025,"1.1176","1.1230","1.1171","1.1186"
05/14/2025,"1.1185","1.1268","1.1166","1.1174"
05/13/2025,"1.1087","1.1197","1.1085","1.1187"
05/12/2025,"1.1256","1.1256","1.1067","1.1088"
05/09/2025,"1.1230","1.1296","1.1198","1.1250"
05/08/2025,"1.1302","1.1339","1.1212","1.1228"
05/07/2025,"1.1371","1.1380","1.1294","1.1303"
05/06/2025,"1.1316","1.1383","1.1281","1.1370"
05/05/2025,"1.1308","1.1366","1.1296","1.1317"
05/02/2025,"1.1293","1.1383","1.1274","1.1300"
05/01/2025,"1.1331","1.1342","1.1267","1.1292"
04/30/2025,"1.1389","1.1401","1.1318","1.1332"
04/29/2025,"1.1424","1.1427","1.1371","1.1387"
04/28/2025,"1.1410","1.1427","1.1331","1.1423"
04/25/2025,"1.1390","1.1396","1.1317","1.1365"
04/24/2025,"1.1318","1.1401","1.1317","1.1391"
04/23/2025,"1.1426","1.1443","1.1310","1.1315"
04/22/2025,"1.1516","1.1549","1.1418","1.1421"
04/21/2025,"1.1396","1.1574","1.1394","1.1514"
04/18/2025,"1.1368","1.1401","1.1361","1.1396"
04/17/2025,"1.1401","1.1412","1.1339","1.1367"
04/16/2025,"1.1286","1.1415","1.1282","1.1400"
04/15/2025,"1.1349","1.1381","1.1267","1.1283"
04/14/2025,"1.1317","1.1426","1.1299","1.1352"
04/11/2025,"1.1202","1.1476","1.1187","1.1362"
04/10/2025,"1.0953","1.1243","1.0944","1.1201"
04/09/2025,"1.0958","1.1097","1.0918","1.0950"
04/08/2025,"1.0906","1.0994","1.0892","1.0959"
04/07/2025,"1.0962","1.1052","1.0883","1.0907"
04/04/2025,"1.1050","1.1111","1.0927","1.0961"
04/03/2025,"1.0850","1.1148","1.0808","1.1055"
04/02/2025,"1.0792","1.0926","1.0781","1.0855"
04/01/2025,"1.0817","1.0833","1.0779","1.0794"
03/31/2025,"1.0881","1.0881","1.0784","1.0816"
03/28/2025,"1.0803","1.0847","1.0766","1.0828"
03/27/2025,"1.0754","1.0823","1.0734","1.0804"
03/26/2025,"1.0792","1.0804","1.0744","1.0755"
03/25/2025,"1.0801","1.0832","1.0778","1.0793"
03/24/2025,"1.0878","1.0878","1.0783","1.0802"
03/21/2025,"1.0853","1.0863","1.0801","1.0822"
03/20/2025,"1.0904","1.0920","1.0815","1.0854"
03/19/2025,"1.0945","1.0949","1.0861","1.0905"
03/18/2025,"1.0923","1.0957","1.0895","1.0946"
03/17/2025,"1.0923","1.0932","1.0870","1.0924"
03/14/2025,"1.0854","1.0913","1.0825","1.0879"
03/13/2025,"1.0888","1.0899","1.0823","1.0855"
03/12/2025,"1.0919","1.0929","1.0877","1.0889"
03/11/2025,"1.0835","1.0949","1.0832","1.0920"
03/10/2025,"1.0836","1.0878","1.0807","1.0836"
