District,Latitude,Longitude,Name,NewGSNo,ProjectID,SchemeNo
,,,,,,
,,,,,,
,,,,,,
Islamabad,,,Digital Economy Enhancement Project (Component-II-BOI),4.0,9224,42000800000000
Islamabad,,,Sustainable Development Goals Achievement Programme (SDGs),5.0,8694,1000750000000
Islamabad,33.70916,73.050392,"Rehabilitation and Upgradation of building of Regional Office, NAP, Karachi",9.0,8257,1000600000000
Multiple Province,,,"Formulation of National Urban Strategy and Guidelines to reduce the impacts of urban flooding, droughts and climate disasters in Pakistan",14.0,9197,6980670000000
Multiple Province,,,Green Skills for Sustainable Development: Promoting Green Entrepreneurship and Innovation in Pakistan.,15.0,9196,6980670000000
Multiple Province,,,"Construction of Dualized Sialkot – Eminabad Road up to Kamoki including link to Motorway Length: 65.10-Kilometer (Section Kilometer No. 07 / 20 (Ghatto Rora) to 37 / 20 (Dharm Kot), including link to Motorway (3.40-Kilometer), Length: = 33.40-Kilometer), in District Sialkot",87.0,8482,9980620000000
Multiple Province,,,"Interchange on Jamaldin Wali, District Rahim Yar Khan",89.0,5775,9980620000000
Multiple Province,,,PC-I FOR WIDENING & IMPROVEMENT OF PRIORITY SECTIONS OF N-5 (PHASE-I) 210 KMPHASE I-A• SECTION-2 RANIPUR - SUKKUR ROAD (70 Km) • SECTION-7 RAWALPINDI - HASSANABDAL ROAD (40 Km)• SECTION-8 NOWSHERA-PESHAWAR (31 Km)PHASE I-B• SECTION-4 LAHORE –GUJRANWALA (68 Km)• NEW NAI BARAN BRIDGE (1 Km),90.0,8051,9990620000000
Multiple Province,,,Lala Musa Bypass of N-5,91.0,9199,9980620000000
Islamabad,33.58837,72.91743,Acquisition of Land from CDA for Establishing Medical City at Islamabad by National University of Medical Sciences (Phase-1) ,105.0,9107,10000700000000
Islamabad,33.58837,72.91743,Acquisition of Land from CDA for Establishing Medical City at Islamabad by National University of Medical Sciences (Phase-1) ,105.0,9107,10000700000000
Islamabad,,,Establishment of Emerging Technologies Lab - Submitted,112.0,6929,10070800000000
Rawalpindi,33.626057,73.071442,"Upgradation / Expansion of Armed Forces Institute of Cardiology (AFIC) and National Institute of Heart Diseases (NIHD), Rawalpindi",115.0,8198,10000700000000
Multiple Province,,,Digitalization of In-House Processes & Automation of Examination System of Federal Public Service Commission (FPSC),121.0,8594,4980780000000
Islamabad,33.6808,73.0374,DISRUPTIVE EDUCATION: Transforming schools into foundries of emerging tech Revised,133.0,7609,14000700000000
Multiple Province,33.738045,73.084488,"Establishment of Daanish Schools in AJK, GB and Balochitan",135.0,7731,14000700000000
Islamabad,,,"Centre of Excellence for Autism Children at H-11/4, Islamabad",136.0,9066,14000700000000
Islamabad,33.6912,72.8291,"Establishment of Islamabad Model College for Girls (Prep-XII) B-17, Multi Gardens, Islamabad",137.0,9060,14000700000000
Islamabad,33.738045,73.084488,"Establishment of Islamabad Model College for Girls (Prep-XII) F-17/2, Multi Professional Cooperative Housing Society, Islamabad",138.0,9061,14000700000000
Sukkur,28.2917,68.893,"Improvement of Road from Rohri to Guddu Barrage @ M-5 Interchange Sadiqabad via Khapur Mahar, Mirpur Mathelo & Mureed Shakh 150.00 Kms",190.0,2718,50020600000000
